Timestamp,Elapsed_Time_s,Temp1_C,Temp2_C,Temp3_C,Volt1_V,Volt2_V,Volt3_V,Volt4_V,Set_Rudder_deg,Actual_Rudder_deg
2025-08-10T00:35:09.209163,18.342,25.05,586.18,25.76,3.26,3.26,3.25,3.29,0,0.7
2025-08-10T00:35:09.211171,18.344,25.07,586.18,25.67,3.26,3.27,3.25,3.28,0,0.7
2025-08-10T00:35:09.542058,18.675,25.01,586.18,25.67,3.26,3.27,3.24,3.29,0,0.7
2025-08-10T00:35:09.542058,18.675,25.09,587.29,26.00,3.26,3.27,3.24,3.29,0,0.7
2025-08-10T00:35:09.542058,18.675,25.05,587.29,25.69,3.26,3.27,3.24,3.30,0,0.7
2025-08-10T00:35:09.868209,19.001,25.03,586.18,25.62,3.26,3.27,3.25,3.29,0,0.7
2025-08-10T00:35:09.872369,19.005,25.05,587.29,25.64,3.26,3.26,3.25,3.29,0,0.7
2025-08-10T00:35:10.198394,19.331,25.07,590.13,25.64,3.27,3.27,3.24,3.28,0,164081.0
2025-08-10T00:35:10.198394,19.331,25.07,584.94,25.69,3.27,3.26,3.25,3.29,0,164081.0
2025-08-10T00:35:10.520990,19.653,25.12,587.29,25.69,3.26,3.26,3.23,3.30,0,164081.0
2025-08-10T00:35:10.520990,19.653,25.07,587.29,25.67,3.27,3.26,3.25,3.28,0,164081.0
2025-08-10T00:35:10.856399,19.989,25.07,587.29,25.34,3.26,3.27,3.25,3.29,0,164081.0
2025-08-10T00:35:10.856399,19.989,25.05,588.32,25.71,3.26,3.27,3.26,3.27,0,164081.0
2025-08-10T00:35:11.195561,20.328,25.03,588.32,25.67,3.27,3.26,3.24,3.29,0,164081.0
2025-08-10T00:35:11.202751,20.335,25.01,588.32,25.67,3.26,3.27,3.24,3.29,0,164081.0
2025-08-10T00:35:11.616015,20.748,25.07,586.18,25.67,3.26,3.27,3.25,3.28,0,164081.0
2025-08-10T00:35:11.617109,20.750,25.03,584.94,25.67,3.27,3.26,3.25,3.29,0,164081.0
2025-08-10T00:35:11.618149,20.751,25.05,586.18,25.69,3.26,3.27,3.24,3.30,0,164081.0
2025-08-10T00:35:11.948497,21.081,25.05,588.32,25.69,3.26,3.27,3.25,3.29,0,164081.0
2025-08-10T00:35:11.948497,21.081,25.05,587.29,25.40,3.26,3.27,3.24,3.29,0,164081.0
2025-08-10T00:35:12.285320,21.418,25.07,587.29,25.67,3.25,3.27,3.25,3.28,0,0.7
2025-08-10T00:35:12.285320,21.418,25.07,588.32,25.64,3.25,3.27,3.25,3.28,0,0.7
2025-08-10T00:35:12.597814,21.730,25.03,584.94,25.64,3.26,3.27,3.24,3.29,0,0.7
2025-08-10T00:35:12.597814,21.730,25.03,587.29,25.69,3.26,3.27,3.24,3.25,0,0.7
2025-08-10T00:35:12.597814,21.730,25.09,588.32,25.64,3.26,3.27,3.25,3.24,0,0.7
2025-08-10T00:35:12.928581,22.061,25.03,580.16,25.64,3.26,3.27,3.24,3.29,0,0.7
2025-08-10T00:35:12.930593,22.063,25.05,586.18,25.67,3.26,3.27,3.24,3.28,0,0.7
2025-08-10T00:35:13.262962,22.395,25.07,584.94,25.64,3.26,3.27,3.25,3.28,0,164212.0
