Timestamp,Elapsed_Time_s,Temp1,Temp2,Temp3,Volt1,Volt2,Volt3,Volt4,Actual_rdr_deg,Set_rdr_deg,IMU_roll,IMU_pitch,IMU_integral,IMU_derivative,IMU_heading,Desired_heading,Data_wind_spd,Data_wind_dir
2025-11-08T03:17:39.554864,30.418,20.12,571.46,20.31,3.23,3.23,3.23,3.26,6.67,-3.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,319.0
2025-11-08T03:17:39.870383,30.734,20.12,508.41,20.34,3.24,3.22,3.21,3.25,4.57,-3.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,338.0
2025-11-08T03:17:40.159654,31.023,20.14,565.38,20.36,3.22,3.24,3.22,3.25,2.1,-3.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,2.0
2025-11-08T03:17:40.446889,31.310,20.16,571.46,20.34,3.23,3.23,3.22,3.25,0.35,-3.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,2.0
2025-11-08T03:17:40.738875,31.602,20.14,565.38,20.36,3.25,3.21,3.22,3.25,-0.71,-3.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,2.0
2025-11-08T03:17:41.025391,31.889,20.12,575.21,20.31,3.23,3.24,3.21,3.27,-1.41,-3.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,122.0
2025-11-08T03:17:41.312598,32.176,20.12,508.41,20.34,3.24,3.23,3.23,3.26,-2.11,-6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,272.0
2025-11-08T03:17:41.601715,32.465,20.16,571.46,20.36,3.23,3.22,3.23,3.26,-2.82,-6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,272.0
2025-11-08T03:17:41.886089,32.749,20.16,565.38,20.38,3.23,3.24,3.21,3.29,-3.87,-6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,181.0
2025-11-08T03:17:42.181818,33.045,20.14,571.46,20.34,3.24,3.23,3.21,3.26,-4.58,-6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,228.0
2025-11-08T03:17:42.467759,33.331,20.06,565.38,20.31,3.22,3.24,3.23,3.27,-5.28,-6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,228.0
2025-11-08T03:17:42.756058,33.619,20.12,565.38,20.38,3.22,3.25,3.23,3.26,-5.28,-6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,272.0
